County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Nyeri,10219162,Urban,Male,40,"""Secondary completed """,,,No,No,No,No,No,No,No,No,No,Yes,7800,A bank,,,,,,No,No,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Used to have,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Mombasa,10201050,Urban,Male,39,"""None """,,No female household head/spouse,No,Yes,No,No,Yes,No,No,No,No,Yes,20000,A bank,,,,,,,Yes,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,,No Female HH head,,Currently have,Used to have,Currently have,Currently have,KSh 15001 - 30000,Yes,No,"KSh 10,001-20,000",KSh 15001 - 30000,1
Kwale,10202074,Rural,Male,58,"""Some secondary""",,Some primary,Yes,Yes,No,No,No,No,No,No,No,Yes,10000,A bank,,,,,,No,No,,,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Secondary,Primary,Secondary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Kericho,10235134,Urban,Female,16,"""Some secondary""",,Some primary,No,No,No,No,No,No,No,No,No,Yes,500,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,No,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kiambu,10222106,Urban,Female,24,"""Secondary completed """,,,No,No,No,Yes,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Garissa,10207078,Rural,Male,47,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,,,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Samburu,10225194,Urban,Male,25,Some technical training after secondary school,,"""None""",No,No,No,No,No,No,No,No,No,Yes,5000,A bank,,,,,,,No,,No,,,Close enough to walk  No need to spend,About 10 to 30 minutes,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,,Tertiary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Vihiga,10238170,Urban,Female,47,"""Some primary """,,,No,No,No,No,Yes,No,No,No,No,No,3500,A group / chama,,,,,,No,No,,,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Uasin Gishu,10227014,Rural,Female,48,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,No,5000,A group / chama,,,,,No,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 201 - 500,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Wajir,10208106,Rural,Male,26,"""None """,,No female household head/spouse,No,No,No,No,No,No,No,No,No,Yes,3000,"""None of these(DO NOT READ OUT)""",,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Tharaka-Nithi,10113065,Rural,Male,32,"""Primary completed""",,Primary completed,No,No,No,Yes,No,No,No,No,No,No,1000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,Yes,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,1
Bungoma,10239190,Urban,Male,30,"""Some secondary""",,,No,No,No,No,Yes,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,,Less than KSh 50,About 1 to 3 hours,,,Less than KSh 50,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kiambu,10222106,Urban,Female,43,"""Secondary completed """,,Primary completed,Yes,No,No,Yes,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,,,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Primary,Secondary,Currently have,Never had,Currently have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Nyandarua,10218022,Rural,Female,17,"""Some secondary""",,Some primary,No,Yes,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,,No,No,No,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,Don't Know,Yes,No,Don't Know,Others,0
Bomet,10236186,Urban,Female,27,Some technical training after secondary school,,,No,No,No,Yes,No,No,No,No,No,No,5000,Mobile banking provider,,,,,,No,No,,Yes,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,No Female HH head,Tertiary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kitui,10115025,Rural,Male,88,"""Secondary completed """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,3000,A bank,,,,,,No,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,,Secondary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Elgeyo-Marakwet,10228042,Rural,Male,47,"""Some primary """,,Primary completed,No,No,No,Yes,No,No,No,No,No,No,3000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Primary,Primary,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nakuru,10232166,Urban,Female,35,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,5000,A group / chama,,,,,No,No,No,No,,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 3001 - 7500,Yes,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Kericho,10235106,Rural,Female,93,"""None """,,,No,Yes,No,No,No,Yes,No,No,No,No,8000,"""None of these(DO NOT READ OUT)""",,,,,,No,No,,No,Between KSh 51- 100,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
West Pokot,10124153,Urban,Male,25,"""University completed """,,,No,Yes,No,No,Yes,No,No,No,No,Yes,5000,A bank,,,,,,No,No,,Yes,Less than KSh 50,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,No Female HH head,Tertiary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kakamega,10237026,Rural,Female,35,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,,,,,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Taita-Taveta,10206030,Rural,Male,79,"""Some primary """,,"""None""",No,No,No,No,Yes,No,No,No,No,No,25000,A Sacco,,,No,,,,No,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,,Primary,Currently have,Never had,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Taita-Taveta,10206178,Urban,Male,23,"""Secondary completed """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,10500,A bank,,,No,,,,No,,,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Wajir,10108177,Urban,Female,34,"""None """,,,No,No,No,No,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""None of these(DO NOT READ OUT)""",,,,,No,No,No,,No,,,Between KSh 51- 100,About 10 to 30 minutes,Between KSh 51 - 100,About 10 to 30 minutes,,No Female HH head,,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Kericho,10135045,Rural,Male,46,"""University completed """,,"""University completed""",Yes,Yes,Yes,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A bank,,,,,,,,,No,Between KSh 51- 100,More than 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Tertiary,Tertiary,Tertiary,Currently have,Currently have,Currently have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Elgeyo-Marakwet,10228118,Rural,Male,28,"""Secondary completed """,,,No,Yes,No,No,No,No,No,No,No,No,2000,A Sacco,,,,,No,No,,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Never had,Currently have,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Baringo,10230094,Rural,Female,61,"""None """,,,No,Yes,No,No,No,No,No,No,No,Yes,4000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kericho,10235058,Rural,Male,46,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,No,4000,A Sacco,,,,,,,Yes,,No,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Tana River,10104157,Urban,Female,38,"""Other (Specify) """,MSC,Completed technical training after secondary school,No,No,Yes,No,No,No,No,No,No,No,50000,Mobile banking provider,,,,,,,No,,Yes,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Other,Tertiary,No Female HH head,Currently have,Currently have,Used to have,Currently have,KSh 30001 - 70000,Yes,Yes,"KSh 20,001 - 50,000",KSh 30001 - 70000,1
Bomet,10236186,Urban,Female,29,"""Secondary completed """,,,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",Mobile banking provider,,,,,,No,No,,Yes,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Kwale,10202174,Urban,Male,37,"""Primary completed""",,,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,100000,A bank,,,,,,,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Used to have,Currently have,Currently have,KSh 70001 - 200000,Yes,Yes,"KSh 50,001 - 100,000",> KSh 70000,1
Lamu,10105137,Urban,Male,24,"""Secondary completed """,,Some primary,No,No,No,Yes,No,No,No,No,No,No,5500,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,Primary,Secondary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Lamu,10205062,Rural,Male,28,"""Secondary completed """,,No female household head/spouse,Yes,No,Yes,No,No,No,No,No,No,No,8000,A bank,,,,,,,No,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Trans Nzoia,10226022,Rural,Male,46,Completed technical training after secondary school,,Completed technical training after secondary school,Yes,No,Yes,No,No,No,No,No,No,No,20000,A Sacco,,,,,,,,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Tertiary,Tertiary,Tertiary,Currently have,Currently have,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Mandera,10109145,Urban,Female,25,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,4000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 201 - 500,More than 3 hours,,,,Never had,Never had,Never had,Never had,KSh 3001 - 7500,No,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Siaya,10241118,Rural,Male,86,"""Secondary completed """,,Primary completed,No,No,No,No,No,No,No,No,Yes,No,7000,A bank,,,,,,,No,,,Between KSh 201- 500,More than 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,No,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Taita-Taveta,10206002,Rural,Female,30,"""Other (Specify) """,Vocational training after primary school,Some primary,No,Yes,No,Yes,No,No,No,No,No,No,4000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Other,Primary,No Female HH head,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Vihiga,10238122,Rural,Female,32,"""Some primary """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Tana River,10204102,Rural,Female,25,"""Primary completed""",,Some primary,No,No,No,Yes,No,No,No,No,No,No,6000,Mobile banking provider,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Homabay,10243098,Rural,Female,80,"""Some primary """,,,No,No,No,No,No,No,No,No,No,Yes,1000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Less than KSh 50,More than 3 hours,,,Less than KSh 50,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Kajiado,10234074,Rural,Female,29,"""None """,,"""None""",No,No,No,No,No,No,No,No,No,Yes,3000,"""Don't know(DO NOT READ OUT)""",,,,,,No,No,No,,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,,,,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Migori,10244038,Rural,Male,17,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,1000,A group / chama,,,,,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Mombasa,10201102,Urban,Male,33,"""Some secondary""",,,Yes,No,No,No,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Used to have,Never had,Used to have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Mandera,10209134,Urban,Male,20,"""Some secondary""",,"""None""",Yes,No,No,No,No,No,No,No,No,Yes,3000,"""None of these(DO NOT READ OUT)""",,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,Secondary,,Secondary,Used to have,Never had,Used to have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Siaya,10241046,Rural,Male,54,"""Primary completed""",,Some primary,No,Yes,No,Yes,No,No,No,No,No,No,3000,Mobile money provider e.g Safaricom fuliza,,,No,,,No,No,,No,Between KSh 51- 100,More than 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Bungoma,10239010,Rural,Female,59,"""Primary completed""",,,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""","""None of these(DO NOT READ OUT)""",,,,,No,No,No,,No,Between KSh 51- 100,More than 3 hours,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Mandera,10209158,Urban,Female,25,"""None """,,"""None""",No,No,No,Yes,No,No,No,No,No,No,15000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,,,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Tana River,10204050,Rural,Female,25,"""Secondary completed """,,,No,No,No,No,Yes,No,No,No,No,No,20000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,Yes,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Used to have,Never had,Used to have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Makueni,10217054,Rural,Female,30,"""Some primary """,,,No,Yes,No,No,No,No,No,No,No,Yes,2000,A group / chama,,,,,,No,No,,,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kakamega,10137049,Rural,Male,59,"""Primary completed""",,"""None""",No,No,No,Yes,No,No,No,No,No,No,1500,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kwale,10202206,Urban,Male,21,"""Secondary completed """,,Some technical training after secondary school,No,No,No,No,No,No,No,No,No,Yes,3500,A bank,,,,,No,No,No,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Tertiary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Nyamira,10246030,Rural,Male,65,"""Primary completed""",,,No,Yes,No,No,No,No,No,No,No,Yes,2000,A Sacco,,,,,,,,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kisumu,10142025,Rural,Male,67,"""Some primary """,,No female household head/spouse,No,No,No,No,No,No,No,No,No,Yes,3000,A bank,,,,,,No,No,,No,Between KSh 51- 100,More than 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Homabay,10143169,Urban,Male,44,Some university,,,No,Yes,Yes,No,No,No,Yes,No,No,No,10000,A Sacco,,,,,,,,,Yes,Between KSh 51- 100,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Currently have,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Kajiado,10234194,Urban,Male,18,"""Some primary """,,Some primary,Yes,No,No,No,No,No,No,No,No,Yes,100,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,Primary,Primary,Never had,Never had,Never had,Never had,KSh 0 - 100,No,No,"KSh 1 - 1,000",< KSh 3000,0
Narok,10233058,Rural,Male,24,"""Some primary """,,Primary completed,No,No,No,Yes,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,No,,,No,No,,Yes,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Primary,Primary,Primary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Nyeri,10219062,Rural,Male,21,Some technical training after secondary school,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,Yes,5000,A bank,,,,,,No,No,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Mombasa,10101085,Urban,Male,25,"""Secondary completed """,,Secondary completed,No,No,No,Yes,No,No,No,No,No,Yes,6000,A bank,,,,,,No,No,,,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,Secondary,Secondary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Kericho,10235118,Rural,Male,52,"""Primary completed""",,Primary completed,No,Yes,No,Yes,No,No,No,No,No,No,3000,A Sacco,,,,,No,No,No,No,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Primary,Primary,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Tana River,10204066,Rural,Male,31,"""None """,,,No,No,No,No,No,No,No,No,No,Yes,10000,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Used to have,Never had,Never had,Currently have,KSh 7501-15000,Yes,No,"KSh 5,001 - 10,000",KSh 7501-15000,1
Kisii,10245138,Rural,Female,18,"""Secondary completed """,,Secondary completed,No,No,No,No,No,No,No,No,No,Yes,400,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,No,No,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,Secondary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,0
Kajiado,10234102,Urban,Female,38,Some technical training after secondary school,,,No,No,Yes,No,No,No,No,No,No,No,14000,A bank,,,,,,,No,,,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Vihiga,10138013,Rural,Female,43,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,1000,A bank,,,,,,No,No,,,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Used to have,Never had,Used to have,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Machakos,10216206,Urban,Female,48,"""Primary completed""",,,No,No,No,Yes,No,No,No,No,No,No,6000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Never had,Currently have,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
